key,code,start-period,end-period,location,instructor,email,link,draft-mode,key:training-module
session-01,TS-WXY-233,2000/01/01 00:00,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-18
session-02,TS-IJK-597,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-03,TS-IJK-523,2200/12/31 23:59,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-05,TS-IJK-546,2020/12/31 23:59,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-06,TS-SDF-272,2021/01/01 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-18
session-07,TS-SIQ-567,2021/01/01 14:35,2000/01/01 00:00,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-08,TS-SIQ-923,2020/04/04 14:35,2200/12/31 23:59,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-09,TS-SIQ-920,2020/04/04 14:35,2020/02/29 00:00,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-10,TS-SIQ-592,2020/04/04 14:35,2020/12/31 23:59,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-11,TS-IJK-842,2020/04/04 14:35,2021/01/01 00:00,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-19
session-12,TS-ABC-693,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,true,module-01
session-13,TS-XYZ-583,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-02
session-14,TS-DEF-170,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-03
session-15,TS-TOC-466,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-04
session-16,TS-GHI-345,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-05
session-17,TS-DLK-678,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-18,TS-DLK-671,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-19,TS-DLK-672,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-20,TS-DLK-673,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-21,TS-DLK-674,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-112,TS-FSE-239,2000/01/01 00:00,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-18
session-22,TS-JKL-675,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-23,TS-SER-901,2020/04/04 14:35,2020/04/14 14:35,S,S,test@gmail.com,https://example.com/objective,false,module-07
session-24,TS-STU-234,2020/04/04 14:35,2020/04/14 14:35,Se,Se,test@gmail.com,https://example.com/objective,false,module-08
session-25,TS-PSV-567,2020/04/04 14:35,2020/04/14 14:35,<h1>hacked</h1>,<h1>hacked</h1>,test@gmail.com,https://example.com/objective,false,module-09
session-26,TS-MNO-381,2020/04/04 14:35,2020/04/14 14:35,' or 'A'='A,' or 'A'='A,test@gmail.com,https://example.com/objective,false,module-10
session-27,TS-JKL-531,2020/04/04 14:35,2020/04/14 14:35,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,test@gmail.com,https://example.com/objective,false,module-06
session-28,TS-JKL-792,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-06
session-29,TS-JKL-570,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,test@gmail.com,https://example.com/objective,false,module-06
session-30,TS-JSA-477,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantiums,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,test@gmail.com,https://example.com/objective,false,module-06
session-31,TS-JKL-456,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,test@gmail.com,https://example.com/objective,false,module-06
session-117,TS-ZZZ-222,2000/01/01 00:00,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,test@gmail.com,https://example.com/objective,false,module-18
session-33,TS-EFG-467,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,a@g.com,https://example.com/objective,false,module-13
session-35,TS-EFG-345,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,ab@gm.com,https://example.com/objective,false,module-13
session-37,TS-ESF-423,2020/04/04 14:35,2020/04/14 14:35,Sed ut perspiciatis unde omnis,Sed ut perspiciatis unde omnis,example@gmail.com,ftp://a,false,module-13
