key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-manager-01,true,"UserIdentity{name: 'Carlos', surname: 'Rodriguez', email: 'carlos@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Maria', surname: 'Garcia', email: 'maria@acme.com'}",manager2,manager2
user-account-client-01,true,"UserIdentity{name: 'Juan', surname: 'Fernandez', email: 'juan@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Fernanda', surname: 'Nuñez', email: 'fernanda@acme.com'}",client2,client2
user-account-auditor-01,true,"UserIdentity{name: 'Federica', surname: 'Gonzalez', email: 'federica@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Francisco', surname: 'Gonzalez', email: 'francisco@acme.com'}",auditor2,auditor2
user-account-developer-01,true,"UserIdentity{name: 'Pedro', surname: 'Fernandez', email: 'pedro@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Miguel', surname: 'Nuñez', email: 'miguel@acme.com'}",developer2,developer2
user-account-sponsor-01,true,"UserIdentity{name: 'Antonio', surname: 'Casimiro', email: 'antonio@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Pepe', surname: 'Zambrano', email: 'pepe@acme.com'}",sponsor2,sponsor2
